Date;Open;High;Low;Close;Adj Close;Volume
16/11/2018;8.183080;8.214420;7.798630;7.884480;7.884480;18869500
17/11/2018;7.897440;7.902800;7.606710;7.718200;7.718200;16973900
18/11/2018;7.738500;8.026650;7.728150;7.999760;7.999760;13784000
19/11/2018;7.999460;8.006080;6.604560;6.632090;6.632090;21567100
20/11/2018;6.612420;6.763360;5.552900;5.760210;5.760210;25989200
21/11/2018;5.798330;6.204480;5.565050;6.199050;6.199050;14208800
22/11/2018;6.207130;6.234940;5.755550;5.755550;5.755550;9885300
23/11/2018;5.735730;5.772290;5.418490;5.557430;5.557430;9943370
24/11/2018;5.556860;5.665680;4.719180;5.115280;5.115280;11938900
25/11/2018;5.085010;5.281490;4.442230;5.180580;5.180580;12236300
26/11/2018;5.179300;5.255810;4.671410;4.926450;4.926450;10132300
27/11/2018;4.905900;4.945550;4.680320;4.913050;4.913050;9050190
28/11/2018;4.899190;5.474070;4.899190;5.336960;5.336960;15392800
29/11/2018;5.353574;5.600017;5.145492;5.346633;5.346633;13027940
30/11/2018;5.368157;5.431550;4.950720;5.078572;5.078572;10699024
01/12/2018;5.086695;5.420366;5.010767;5.288723;5.288723;12291155
02/12/2018;5.273153;5.425089;5.196664;5.250417;5.250417;11848313
03/12/2018;5.253589;5.280643;5.003136;5.109251;5.109251;12193045
04/12/2018;5.111379;6.287437;5.111379;5.880791;5.880791;39059359
05/12/2018;5.920864;6.585201;5.781616;5.984278;5.984278;61589926
06/12/2018;6.009993;6.059335;4.951687;4.951687;4.951687;38404207
07/12/2018;4.921514;4.964452;4.189971;4.528650;4.528650;24895395
08/12/2018;4.532951;4.812401;4.383866;4.700418;4.700418;16534323
09/12/2018;4.714436;5.054436;4.619206;4.859104;4.859104;17862646
10/12/2018;4.852922;4.995683;4.593338;4.712263;4.712263;13851408
11/12/2018;4.705228;4.969432;4.587969;4.940698;4.940698;19625570
12/12/2018;4.935228;5.182591;4.825037;5.023137;5.023137;17783397
13/12/2018;5.026953;5.027466;4.590775;4.650704;4.650704;14503435
14/12/2018;4.653218;4.750972;4.462606;4.533357;4.533357;13544913
15/12/2018;4.534580;4.635010;4.483253;4.563012;4.563012;12572161
16/12/2018;4.570186;4.725925;4.540937;4.645258;4.645258;14565932
17/12/2018;4.650204;5.161648;4.636384;5.110017;5.110017;17799305
18/12/2018;5.113013;5.600270;4.984433;5.600270;5.600270;26195539
19/12/2018;5.605103;5.890684;5.400921;5.491901;5.491901;25173916
20/12/2018;5.466514;5.921811;5.373549;5.792257;5.792257;27976597
21/12/2018;5.790804;5.871939;5.446552;5.567144;5.567144;24440098
22/12/2018;5.562588;5.953294;5.504866;5.930578;5.930578;28188479
23/12/2018;5.931412;6.208480;5.899952;6.059008;6.059008;29722800
24/12/2018;6.063885;6.575179;6.060145;6.144924;6.144924;30471526
25/12/2018;6.192375;6.192375;5.457997;5.547575;5.547575;19913983
26/12/2018;5.552672;5.768162;5.526579;5.713105;5.713105;19526927
27/12/2018;5.717212;5.750797;5.246651;5.275450;5.275450;16073455
28/12/2018;5.289188;6.020247;5.245348;6.011828;6.011828;23929897
29/12/2018;6.027940;6.095640;5.832340;5.832340;5.832340;20325768
30/12/2018;5.842567;6.013542;5.773901;5.995711;5.995711;21109984
31/12/2018;6.000591;6.329239;5.974399;6.164732;6.164732;38216014
01/01/2019;6.191432;6.191929;5.885122;6.075273;6.075273;23891162
02/01/2019;6.091465;6.207873;5.949006;6.188613;6.188613;30308610
03/01/2019;6.171907;6.175116;5.901559;5.903535;5.903535;22821639
04/01/2019;5.895052;6.065898;5.863714;6.065138;6.065138;29311136
05/01/2019;6.055661;6.204376;6.034071;6.065543;6.065543;30340637
06/01/2019;6.068153;6.502734;6.034090;6.395979;6.395979;41574183
07/01/2019;6.429357;6.429487;6.231934;6.291411;6.291411;37914513
08/01/2019;6.295865;6.911029;6.235755;6.640054;6.640054;65660517
09/01/2019;6.659679;6.965078;6.473888;6.641550;6.641550;74676974
10/01/2019;6.610938;6.683948;5.800487;5.915919;5.915919;75844882
11/01/2019;5.965033;6.237288;5.842600;6.075342;6.075342;50239804
12/01/2019;6.086733;6.087327;5.929253;5.976965;5.976965;32654874
13/01/2019;5.974922;6.000758;5.493421;5.568757;5.568757;26590183
14/01/2019;5.577669;6.159282;5.574418;6.159282;6.159282;43109288
15/01/2019;6.163676;6.163676;5.817486;5.919048;5.919048;25427436
16/01/2019;5.916178;6.249328;5.900547;6.186014;6.186014;35059223
17/01/2019;6.171835;6.417832;6.081833;6.417832;6.417832;36306127
18/01/2019;6.405715;6.687800;6.336640;6.563040;6.563040;43105423
19/01/2019;6.570098;6.728054;6.356164;6.635449;6.635449;46981638
20/01/2019;6.646824;6.730163;6.375931;6.493869;6.493869;49479090
21/01/2019;6.505216;6.579240;6.422120;6.553025;6.553025;36321046
